XGCSWGS84,YGCSWGS84,Cluster_DBSCAN,geometry
13.31537724,52.61314013,1,POINT (13.31537724 52.61314013)
13.41375137,52.55072589,1,POINT (13.41375137 52.55072589)
13.30442998,52.44960119,1,POINT (13.30442998 52.44960119)
13.43888487,52.54139522,1,POINT (13.43888487 52.54139522)
13.41196387,52.519232,1,POINT (13.41196387 52.519232)
13.26050352,52.50864568,1,POINT (13.26050352 52.50864568)
13.41435296,52.54065067,1,POINT (13.41435296 52.54065067)
13.2827809,52.50761836,1,POINT (13.2827809 52.50761836)
13.3698348,52.54374505,1,POINT (13.3698348 52.54374505)
13.25613654,52.61003592,1,POINT (13.25613654 52.61003592)
13.43397739,52.53590516,1,POINT (13.43397739 52.53590516)
13.28030299,52.49998843,1,POINT (13.28030299 52.49998843)
13.47399597,52.51384956,1,POINT (13.47399597 52.51384956)
13.41879812,52.52443656,1,POINT (13.41879812 52.52443656)
13.35629317,52.473573,1,POINT (13.35629317 52.473573)
13.41973466,52.52530486,1,POINT (13.41973466 52.52530486)
13.45413059,52.51545687,1,POINT (13.45413059 52.51545687)
13.41479092,52.55504275,1,POINT (13.41479092 52.55504275)
13.40655166,52.52078986,1,POINT (13.40655166 52.52078986)
13.41069268,52.52319762,1,POINT (13.41069268 52.52319762)
13.32327668,52.4566507,1,POINT (13.32327668 52.4566507)
13.39262925,52.42991746,1,POINT (13.39262925 52.42991746)
13.34765319,52.57446959,1,POINT (13.34765319 52.57446959)
13.28620765,52.51135243,1,POINT (13.28620765 52.51135243)
13.39044086,52.61859411,1,POINT (13.39044086 52.61859411)
13.51202572,52.45489279,1,POINT (13.51202572 52.45489279)
13.55811132,52.56266698,1,POINT (13.55811132 52.56266698)
13.44263928,52.54458983,1,POINT (13.44263928 52.54458983)
13.39851134,52.57990615,1,POINT (13.39851134 52.57990615)
13.31663618,52.61420498,1,POINT (13.31663618 52.61420498)
13.24232213,52.50753129,1,POINT (13.24232213 52.50753129)
